x,y
"48,44953","15,63502"
"69,1742","-19,32976"
"30,99693","-45,10213"
"78,35296","-44,94913"
"71,25813","7,669611"
"39,06396","34,62059"
"17,08153","-43,34797"
"63,37906","6,676877"
"61,48267","-17,18222"
"38,60755","-27,55422"
"63,82238","-1,855593"
"62,58536","8,728971"
"65,2074","-29,31325"
"42,51684","-3,462763"
"98,74828","2,434907"
"67,55741","-16,07383"
"91,29193","-12,39515"
"13,2343","-23,17536"
"82,35676","-8,292933"
"63,05593","6,786728"
"81,7918","29,34155"
"74,90994","-27,25055"
"29,17918","6,812927"
"59,17405","7,816167"
"53,21607","-13,0869"
"67,22638","-11,13392"
"43,09963","14,79389"
"43,5149","-7,772126"
"70,85081","-0,096127"
"53,10583","-31,27523"
"80,64804","-4,447224"
"43,26941","-0,219034"
"60,56005","-20,36128"
"62,7447","-38,30861"
"92,83049","-40,71586"
"96,00699","6,950273"
"65,79554","-15,25097"
"91,2794","-53,84632"
"67,24135","-31,57406"
"79,39645","-41,69592"
"90,28353","-24,8868"
"49,49986","15,55035"
"74,44787","-21,71595"
"64,67844","14,72689"
"48,46049","1,644349"
"54,95312","-12,68239"
"68,10017","15,21438"
"79,2382","-6,429313"
"88,15191","-54,43121"
"12,5109","176,5375"
"31,90017","183,5496"
"-9,405296","195,8885"
"34,57313","192,3441"
"43,24852","198,3416"
"23,94144","196,2396"
"-4,006154","178,9404"
"63,97494","174,3475"
"45,33458","158,0986"
"22,31051","185,486"
"5,157338","157,8547"
"14,72871","182,7773"
"-2,399475","187,4979"
"20,74108","213,4021"
"50,19094","226,0438"
"31,89513","192,5709"
"6,712412","185,7284"
"28,83878","196,4826"
"20,43164","184,5687"
"9,187913","173,244"
"-5,884986","176,4347"
"1,445002","177,7678"
"28,8693","165,2176"
"-1,401583","202,6207"
"-0,502506","232,3203"
"37,16912","218,4288"
"17,54388","166,4259"
"36,07114","177,9331"
"36,03964","178,4703"
"30,03634","206,3055"
"25,1354","200,4019"
"4,35266","166,1843"
"14,60807","189,1187"
"27,40096","220,3132"
"-5,124757","214,4072"
"-5,370804","189,3766"
"5,280825","198,1279"
"0,146403","152,5453"
"69,97409","211,2458"
"10,00559","201,9026"
"199,8692","-120,0233"
"210,5263","-102,2779"
"215,2956","-113,3975"
"194,7998","-127,5319"
"207,7189","-104,658"
"210,7766","-104,1258"
"158,9439","-109,5225"
"214,3789","-105,7261"
"167,9435","-117,264"
"192,1339","-116,0723"
"177,2517","-123,7267"
"159,1341","-99,53034"
"161,2054","-140,1739"
"165,5746","-119,6195"
"225,1141","-98,23055"
"202,7863","-101,2965"
"183,1753","-105,3608"
"184,5361","-152,2336"
"216,2775","-85,0832"
"164,2345","-144,7781"
"202,3199","-120,143"
"189,892","-136,2521"
"182,3098","-143,1419"
"184,0674","-119,6651"
"227,1004","-140,4178"
"156,7441","-116,4927"
"189,2405","-78,04256"
"204,3536","-136,0254"
"181,0485","-148,7581"
"202,4959","-131,826"
"184,2906","-115,5483"
"150,4724","-112,7287"
"201,6054","-118,281"
"166,2405","-150,0206"
"182,7367","-117,6058"
"160,0098","-115,0514"
"197,4862","-104,5237"
"162,0857","-110,1017"
"80,26232","120,2129"
"99,79973","80,60276"
"105,3033","74,12892"
"119,8512","101,8449"
"92,70973","94,25781"
"91,37892","95,86217"
"84,48638","94,27119"
"88,51717","94,58096"
"86,59361","88,56485"
"120,817","97,88023"
"86,04847","70,40319"
"88,7968","96,94164"
"79,28827","63,36651"
"115,3188","77,57645"
"74,8417","124,9179"
"100,2854","117,6366"
"121,0165","102,909"
"58,78273","120,2794"
"113,9873","92,456"
"106,4994","52,8121"
"116,5449","65,24395"
"90,33836","83,72572"
"90,05918","64,18769"
"80,19548","82,73553"
"93,32149","106,5255"
"98,55612","79,77161"
"99,45892","74,80253"
"82,36903","94,50667"
"99,10235","43,1568"
"93,12897","80,42346"
"112,1713","113,6535"
"103,9609","116,0327"
"70,8921","78,05767"
"75,05158","81,94403"
"146,091","97,43867"
"76,84798","102,9005"
"85,41644","112,823"
"101,9243","101,941"
"102,9847","94,2283"
"95,55701","72,82816"
"68,90402","108,1957"
"135,2743","77,34242"
"122,311","91,11327"
"97,70352","121,0317"
"-48,10073","-99,60632"
"-27,68723","-87,70099"
"-41,79597","-98,64773"
"-38,09128","-106,197"
"-34,82699","-85,73289"
"-43,36218","-118,5275"
"-40,04323","-83,28644"
"-48,88025","-68,49014"
"-55,46335","-101,4108"
"-40,47005","-119,4473"
"-38,39715","-105,5241"
"-5,396633","-94,44925"
