idemp,nome,status,ano,setor,endiv1,tang1,risco,lntam,z1,mb,roa,lucrat2,higrow
184,Light S.A.,ativo,2007,Energia Elétrica,0,0,0.027042995,8.853665428,,2.028932216,-0.001873276,-768.8571429,1
439,Cobrasma SA,ativo,2007,Veiculos e peças,0.979156474,0.90151094,0.631565824,10.6454249,-23.79540898,62.17625954,-0.513062813,-241.7380952,1
105,Const Lix da Cunha SA,ativo,2007,Construção,0.104942917,0.006613487,0.006767474,11.87756858,4.797721928,0.175753806,-0.012658228,-24.11111111,0
411,Vulcabras S/A.,ativo,2007,Textil,0,0.018984032,0.324144983,11.8913619,,5.025539959,-0.003366448,-5.732876712,1
262,M&g Poliester S/A,ativo,2007,Química,0,0.005003175,0.00054745,12.18075484,,3.600921661,-0.001368581,-3.128205128,1
2,Brasilagro Cia Bras Propriedades Agricol,ativo,2007,Agro e Pesca,0.001678042,0.054354893,,12.20607265,357.7831209,0.980573056,-0.025375335,-75.72,0
400,Marisol S.A.,ativo,2007,Textil,0.023061239,0.002822984,0.047401133,12.64432758,25.44649643,1.126016154,-8.25233E-05,-0.077419355,0
406,Tecblu - Tecelagem Blumenau S/A.,ativo,2007,Textil,0.315817399,0.876746352,0.033722554,13.23211424,0.779787401,0.683215997,-0.088876972,-5.643369176,0
418,Cia Docas de Imbituba,ativo,2007,Transporte Serviç,0.319365552,0.073175679,0.068544339,13.65416741,0.797204452,1.155394419,0.001197622,0.291421857,0
57,Battistella Adm e Partic SA - Apaba,ativo,2007,Comércio,0,0.00443011,,14.00199012,,2.031277502,-0.029257187,-4.73526971,1
107,Mendes Jr,ativo,2007,Construção,0.667132951,0.000470719,0.008730493,14.33430435,0.072986645,0.349124947,0.007461722,23.29642857,0
151,Centrais Eletricas de Santa Catarina S.A.,ativo,2007,Energia Elétrica,0,0,0.066894768,14.69555216,,0.92576534,-0.026017159,-19.10783907,0
113,Sergen Servs Gerais de Eng SA,ativo,2007,Construção,0.064624424,0.06287087,0.118432568,14.8467722,9.35301445,0.320071243,-0.015617614,-0.893996367,0
104,Klabin Segall S/A,ativo,2007,Construção,0.229599148,0.001811484,,15.13432875,2.03358734,1.511259066,-0.030112056,-5.717304092,1
454,Recrusul SA,ativo,2007,Veiculos e peças,0.016438699,0.013024703,0.082909978,15.53899119,34.91431229,0.382742617,-0.090360327,-0.694503926,0
452,Bicicletas Caloi SA,ativo,2007,Veiculos e peças,0.773103,0.115177196,1.382264019,15.58041257,-62.15372188,62.69533783,0.397534669,0.176682075,1
83,Agra Empreendimentos Imobiliarios S.A.,ativo,2007,Construção,0.064545769,0.009573147,,15.59822928,8.802669628,1.7720654,-0.071604324,-13.69895728,1
230,Companhia,ativo,2007,Papel e Celulose,0.014474523,0.83922861,0.007563434,15.8670669,40.60710498,0.776329277,-0.007394115,-0.553984576,0
304,Gazola SA Industria Metalurgica,ativo,2007,Siderur & Metalur,0.379385449,0.548214221,0.752746397,16.09915032,0.128373356,0.39600959,0.037578765,0.090846517,0
308,Hercules S/A - Fabrica de Talheres,ativo,2007,Siderur & Metalur,0.055660216,0,0.133075841,16.12982657,10.73117566,0.290408795,0.212752498,0.963925677,0
99,Helbor Empreendimentos S/A,ativo,2007,Construção,0.218723923,0.001518356,,16.28394902,2.571131656,1.321475268,-0.046349191,-2.296424941,0
82,Abyara Planejamento Imobiliario S.A.,ativo,2007,Construção,0.204476242,0.021617149,,16.4694565,2.226057893,2.614362542,-0.009633321,-0.36052076,1
407,Fiacao e Tecelagem Sao Jose SA,ativo,2007,Textil,0.584960808,0.549564374,0.067228428,16.50124698,-1.333073456,0.635149674,-0.091513195,-0.29572568,0
135,Semp Toshiba SA,cancelado,2007,Eletroeletrônicos,0,0.016301333,0.061883911,16.52402732,,1.380895097,-0.161918414,-1.497834344,0
316,Industrias Micheletto S/A,cancelado,2007,Siderur & Metalur,0.23608705,0.181468419,0.121359088,16.58816178,-1.759382116,0.26047201,-0.212728439,-0.414661584,0
93,Cyrela Brazil Realty SA Emprs e Parts,ativo,2007,Construção,0.07081409,0.002615184,0.026655795,16.7413567,8.038285793,3.048828137,0.00671653,1.094101877,1
111,Rodobens Negocios Imobiliarios SA,ativo,2007,Construção,0.001294847,0.007975119,,16.83598422,463.6003026,1.650030316,-0.052823131,-1.606360665,1
16,Cafe Soluvel Brasilia SA,ativo,2007,Alimentos e Beb,0.79352641,0.427965379,0.14594141,16.89471044,-6.368667553,0.600187687,-0.367012069,-0.692378455,0
103,Joao Fortes Engenharia SA,ativo,2007,Construção,0.033456187,0.001672169,0.026914078,16.97510336,17.26251103,3.014419029,-0.027075819,-0.293451042,1
