salary,teamsal,nl,years,games,atbats,runs,hits,doubles,triples,hruns,rbis,bavg,bb,so,sbases,fldperc,frstbase,scndbase,shrtstop,thrdbase,outfield,catcher,yrsallst,hispan,black,whitepop,blackpop,hisppop,pcinc,gamesyr,hrunsyr,atbatsyr,allstar,slugavg,rbisyr,sbasesyr,runsyr,percwhte,percblck,perchisp,blckpb,hispph,whtepw,blckph,hisppb,lsalary
6329213,38407380,1,12,1705,6705,1076,1939,320,67,231,836,289,619,948,314,989,0,1,0,0,0,0,9,0,0,5772110,1547725,893422,18840,142.08333,19.25,558.75,75,46.025352,69.666664,26.166666,89.666664,70.277969,18.844229,10.877804,0,0,70.277969,0,0,15.660686
3375000,38407380,1,8,918,3333,407,863,156,38,73,342,259,137,582,133,968,0,0,1,0,0,0,2,0,1,5772110,1547725,893422,18840,114.75,9.125,416.625,25,39.423943,42.75,16.625,50.875,70.277969,18.844229,10.877804,18.844229,0,0,10.877804,0,15.031906
3100000,38407380,1,5,751,2807,370,840,148,18,46,355,299,341,228,41,994,1,0,0,0,0,0,0,0,0,5772110,1547725,893422,18840,150.2,9.1999998,561.40002,0,41.396507,71,8.1999998,74,70.277969,18.844229,10.877804,0,0,70.277969,0,0,14.946913
2900000,38407380,1,8,1056,3337,405,816,143,18,107,421,245,306,653,15,971,0,0,0,1,0,0,0,0,0,5772110,1547725,893422,18840,132,13.375,417.125,0,39.436619,52.625,1.875,50.625,70.277969,18.844229,10.877804,0,0,70.277969,0,0,14.880221
1650000,38407380,1,12,1196,3603,437,928,19,16,124,541,258,316,725,32,977,0,0,0,0,1,0,0,0,1,5772110,1547725,893422,18840,99.666664,10.333333,300.25,0,37.496532,45.083332,2.6666667,36.416668,70.277969,18.844229,10.877804,18.844229,0,0,10.877804,0,14.316286
700000,38407380,1,17,2032,7489,1136,2145,270,142,40,574,286,416,1098,660,987,0,0,0,0,1,0,2,0,1,5772110,1547725,893422,18840,119.52941,2.3529413,440.52942,11.764706,37.641876,33.764706,38.823528,66.823532,70.277969,18.844229,10.877804,18.844229,0,0,10.877804,0,13.458836
695000,38407380,1,4,394,1293,179,303,51,13,37,141,234,77,358,67,965,0,0,0,0,1,0,0,1,0,5772110,1547725,893422,18840,98.5,9.25,323.25,0,37.973705,35.25,16.75,44.75,70.277969,18.844229,10.877804,0,10.877804,0,0,18.844229,13.451667
275000,38407380,1,10,432,1005,78,240,35,5,13,95,239,39,140,1,990,0,0,0,0,0,1,0,0,0,5772110,1547725,893422,18840,43.200001,1.3,100.5,0,32.238808,9.5,.1,7.8000002,70.277969,18.844229,10.877804,0,0,70.277969,0,0,12.524527
235000,38407380,1,4,223,491,37,118,16,5,1,29,240,23,62,6,963,0,0,1,0,0,0,0,1,0,5772110,1547725,893422,18840,55.75,.25,122.75,0,29.9389,7.25,1.5,9.25,70.277969,18.844229,10.877804,0,10.877804,0,0,18.844229,12.367341
212500,38407380,1,3,156,434,45,116,16,0,10,59,267,18,48,6,971,0,0,0,0,1,0,0,0,1,5772110,1547725,893422,18840,52,3.3333333,144.66667,0,37.32719,19.666666,2,15,70.277969,18.844229,10.877804,18.844229,0,0,10.877804,0,12.266697
212500,38407380,1,2,169,447,41,111,18,1,14,44,248,47,109,3,993,0,0,0,0,0,1,0,0,0,5772110,1547725,893422,18840,84.5,7,223.5,0,38.702461,22,1.5,20.5,70.277969,18.844229,10.877804,0,0,70.277969,0,0,12.266697
180000,38407380,1,2,87,278,25,70,14,3,1,21,252,14,20,2,977,0,0,1,0,0,0,0,1,0,5772110,1547725,893422,18840,43.5,.5,139,0,33.453236,10.5,1,12.5,70.277969,18.844229,10.877804,0,10.877804,0,0,18.844229,12.100712
3400000,18297546,1,7,789,2872,312,758,124,15,85,375,264,139,516,62,980,0,0,0,0,0,1,4,1,0,2438598,591440,1061846,15682,112.71429,12.142858,410.28571,57.142857,40.633705,53.57143,8.8571424,44.57143,59.59597,14.453978,25.950052,0,25.950052,0,0,14.453978,15.039286
