female,phsrank,BA,AA,black,hispanic,id,exper,jc,univ,lwage,stotal,smcity,medcity,submed,lgcity,sublg,vlgcity,subvlg,ne,nc,south,totcoll
1,65,0,0,0,0,19,161,0,0,1.9252908,-.44174969,0,0,0,0,1,0,0,1,0,0,0
1,97,0,0,0,0,93,119,0,7.0333333,2.7964942,0,1,0,0,0,0,0,0,0,1,0,7.0333333
1,44,0,0,0,0,96,81,0,0,1.6255995,-1.3570027,0,0,0,0,1,0,0,1,0,0,0
1,34,0,0,0,1,119,39,.26666668,0,2.2233119,-.19005509,1,0,0,0,0,0,0,0,0,0,.26666668
1,80,0,0,0,0,132,141,0,0,1.6420826,0,0,0,0,0,0,0,0,0,0,1,0
0,59,0,0,0,0,156,165,0,0,2.0794415,1.3887565,1,0,0,0,0,0,0,0,0,1,0
0,81,1,0,0,0,163,127,.26666668,4.4444375,2.8779492,1.4116378,1,0,0,0,0,0,0,0,1,0,4.7111044
0,50,0,0,1,0,188,161,0,0,2.5201123,-.3731057,0,0,0,1,0,0,0,0,0,1,0
0,8,0,0,0,0,199,138,.088888742,0,2.5257287,0,1,0,0,0,0,0,0,0,0,0,.088888742
0,56,1,0,1,0,200,64,0,5.4000001,2.6740758,-1.4027654,0,0,0,0,0,0,0,0,0,1,5.4000001
1,46,1,0,0,0,262,119,0,4.0999999,1.9841313,-.23581775,0,1,0,0,0,0,0,0,1,0,4.0999999
1,87,0,0,0,0,263,105,0,0,2.2529943,1.0684179,1,0,0,0,0,0,0,0,0,1,0
1,42,0,0,0,0,287,124,.88888752,0,1.7491999,.5421474,0,0,0,0,0,0,1,0,0,0,.88888752
1,66,0,0,0,0,288,143,0,0,1.2089599,.58791006,0,0,0,0,0,0,0,0,1,0,0
0,43,0,1,0,0,360,160,2.7666667,0,2.0149031,.56502873,0,0,0,0,0,0,0,1,0,0,2.7666667
1,48,0,0,0,0,374,121,0,0,1.3862944,-.16717376,0,1,0,0,0,0,0,0,0,1,0
1,87,0,0,0,0,415,166,.95555419,0,2.1972246,.17604615,1,0,0,0,0,0,0,0,0,1,.95555419
1,99,1,0,0,0,425,118,0,4.5333252,2.0222831,1.4345192,0,0,1,0,0,0,0,0,0,1,4.5333252
1,57,0,0,1,0,448,103,0,0,1.475643,-2.3866625,0,0,0,0,0,0,0,0,0,1,0
0,14,0,0,0,0,452,60,.36666667,0,2.2512918,0,0,0,0,0,1,0,0,0,0,0,.36666667
1,80,1,0,0,1,454,131,3.8333333,2.3333333,1.8718022,0,0,1,0,0,0,0,0,0,0,1,6.1666665
1,43,0,0,0,1,467,95,0,0,1.20077,-1.0824269,1,0,0,0,0,0,0,0,0,0,0
1,54,0,0,0,0,493,59,0,1.3,2.0862889,0,0,0,0,0,1,0,0,1,0,0,1.3
1,88,0,0,0,0,499,161,0,1.9,2.1690538,.72519803,1,0,0,0,0,0,0,0,0,1,1.9
0,68,0,0,0,0,513,122,0,0,2.4079456,.22180881,1,0,0,0,0,0,0,0,1,0,0
1,70,0,0,0,0,527,162,.1,0,2.1690538,-.78496963,0,0,1,0,0,0,0,0,0,1,.1
1,95,1,0,0,0,543,106,0,4.8333335,2.3285606,.77096063,0,0,0,0,1,0,0,0,1,0,4.8333335
0,85,1,0,0,0,547,60,2.0999999,3.2833333,2.5862591,-.029885801,0,0,0,0,0,0,0,0,0,0,5.3833332
1,52,0,0,0,0,560,107,.1,0,2.4029229,0,0,0,0,1,0,0,0,0,0,0,.1
0,85,0,0,0,0,572,165,.15555534,0,3.0726933,1.0226552,0,0,0,0,0,0,0,0,0,0,.15555534
