Id;ts;tm;ct;as;mr;ar
m1      ;-0,28;-0,36;-0,27;-0,49;-0,52;-0,48
m2      ;3,51;3,61;3,74;-0,55;-0,6;-0,87
m3      ;-0,39;-0,34;-0,27;-0,55;-0,53;-0,59
m4      ;-0,06;-0,28;-0,26;-0,55;-0,57;-0,83
m5      ;0,38;-0,27;-0,27;-0,46;-0,5;-0,88
m6      ;-0,43;-0,38;-0,27;-0,55;-0,52;-0,48
m7      ;-0,26;0,37;-0,27;-0,55;-0,52;-0,59
m8      ;0,7;0,68;-0,27;-0,6;-0,61;-0,92
m9      ;-0,47;-0,39;-0,27;-0,37;-0,52;-0,48
m10     ;-0,28;-0,23;-0,27;-0,02;-0,14;-0,77
m11     ;-0,49;-0,39;-0,27;-0,13;0,16;1,71
m12     ;-0,5;-0,39;-0,27;1,32;2,47;1,08
m13     ;-0,51;-0,39;-0,27;0,36;0,16;1,7
m14     ;-0,51;-0,39;-0,27;3,26;2,47;1,08
m15     ;-0,52;-0,12;-0,27;-0,13;-0,23;1,33
